TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
305.0,MAS,CON,150.0,hombre,,l,Opaque
306.0,MAS,DIS,150.0,dinero,la,l,Transparent
307.0,FEM,AGR,150.0,suerte,la,a,Opaque
308.0,FEM,CON,150.0,semana,,a,Transparent
309.0,FEM,DIS,150.0,esposa,el,a,Transparent
310.0,MAS,AGR,150.0,nombre,el,l,Opaque
311.0,MAS,CON,150.0,camino,,l,Transparent
312.0,MAS,DIS,150.0,equipo,la,l,Transparent
313.0,FEM,AGR,150.0,ciudad,la,a,Opaque
314.0,FEM,CON,150.0,señora,,a,Transparent
315.0,FEM,DIS,150.0,manera,el,a,Transparent
316.0,MAS,AGR,150.0,cuerpo,el,l,Transparent
317.0,MAS,CON,150.0,número,,l,Transparent
318.0,MAS,DIS,150.0,pueblo,la,l,Transparent
319.0,FEM,AGR,150.0,sangre,la,a,Opaque
320.0,FEM,CON,150.0,fiesta,,a,Transparent
321.0,FEM,DIS,150.0,comida,el,a,Transparent
322.0,MAS,AGR,150.0,minuto,el,l,Transparent
323.0,MAS,CON,150.0,marido,,l,Transparent
324.0,MAS,DIS,150.0,cuarto,la,l,Transparent
325.0,FEM,AGR,150.0,tierra,la,a,Transparent
326.0,FEM,CON,150.0,música,,a,Transparent
327.0,FEM,DIS,150.0,tienda,el,a,Transparent
328.0,MAS,AGR,150.0,asunto,el,l,Transparent
329.0,MAS,CON,150.0,futuro,,l,Transparent
330.0,MAS,DIS,150.0,estado,la,l,Transparent
331.0,FEM,AGR,150.0,cárcel,la,a,Opaque
332.0,FEM,CON,150.0,basura,,a,Transparent
333.0,FEM,DIS,150.0,locura,el,a,Transparent
334.0,MAS,AGR,150.0,ataque,el,l,Opaque
335.0,MAS,CON,150.0,montón,,l,Opaque
336.0,MAS,DIS,150.0,crimen,la,l,Opaque
337.0,FEM,AGR,150.0,escena,la,a,Transparent
338.0,FEM,CON,150.0,abuela,,a,Transparent
339.0,FEM,DIS,150.0,salida,el,a,Transparent
340.0,MAS,AGR,150.0,pasado,el,l,Transparent
341.0,MAS,CON,150.0,precio,,l,Transparent
342.0,MAS,DIS,150.0,abuelo,la,l,Transparent
343.0,FEM,AGR,150.0,trampa,la,a,Transparent
344.0,FEM,CON,150.0,pareja,,a,Transparent
345.0,FEM,DIS,150.0,pierna,el,a,Transparent
346.0,MAS,AGR,150.0,juicio,el,l,Transparent
347.0,MAS,CON,150.0,cuello,,l,Transparent
348.0,MAS,DIS,150.0,anillo,la,l,Transparent
349.0,FEM,AGR,150.0,prensa,la,a,Transparent
350.0,FEM,CON,150.0,imagen,,a,Opaque
351.0,FEM,DIS,150.0,espada,el,a,Transparent
352.0,MAS,AGR,150.0,estilo,el,l,Transparent
353.0,MAS,CON,150.0,verano,,l,Transparent
354.0,MAS,DIS,150.0,camión,la,l,Opaque
355.0,FEM,AGR,150.0,mirada,la,a,Transparent
356.0,FEM,CON,150.0,piedra,,a,Transparent
357.0,FEM,DIS,150.0,lengua,el,a,Transparent
358.0,MAS,AGR,150.0,motivo,el,l,Transparent
359.0,MAS,CON,150.0,bosque,,l,Opaque
360.0,MAS,DIS,150.0,puente,la,l,Opaque
361.0,FEM,AGR,150.0,oferta,la,a,Transparent
