TrialID,Gender,StimulusType,Condition,PrimeDuration,Prime,Flanker,PairedWith,Transparency
71,FEM,WORD,DIS,150,isla,el,urla,Transparent
72,FEM,NOWORD,AGR,150,urla,la,isla,Transparent
73,MAS,WORD,AGR,150,odio,el,omio,Transparent
74,MAS,NOWORD,DIS,150,omio,la,odio,Transparent
75,MAS,WORD,DIS,150,olor,la,ocer,Opaque
76,MAS,NOWORD,AGR,150,ocer,el,olor,Opaque
77,MAS,WORD,AGR,150,loco,el,fodo,Transparent
78,MAS,NOWORD,DIS,150,fodo,la,loco,Transparent
79,FEM,WORD,AGR,150,piel,la,ciel,Opaque
80,FEM,NOWORD,AGR,150,ciel,la,piel,Opaque
81,FEM,WORD,DIS,150,dama,el,vasa,Transparent
82,FEM,NOWORD,DIS,150,vasa,el,dama,Transparent
83,FEM,WORD,AGR,150,bala,la,taga,Transparent
84,FEM,NOWORD,AGR,150,taga,la,bala,Transparent
85,MAS,WORD,DIS,150,lago,la,babo,Transparent
86,MAS,NOWORD,DIS,150,babo,la,lago,Transparent
87,MAS,WORD,AGR,150,vaso,el,damo,Transparent
88,MAS,NOWORD,AGR,150,damo,el,vaso,Transparent
89,MAS,WORD,DIS,150,humo,la,guso,Transparent
90,MAS,NOWORD,DIS,150,guso,la,humo,Transparent
91,FEM,WORD,DIS,150,taza,el,sava,Transparent
92,FEM,NOWORD,AGR,150,sava,la,taza,Transparent
93,FEM,WORD,AGR,150,bola,la,rona,Transparent
94,FEM,NOWORD,DIS,150,rona,el,bola,Transparent
95,FEM,WORD,DIS,151,moda,el,neda,Transparent
96,FEM,NOWORD,AGR,151,neda,la,moda,Transparent
97,MAS,WORD,AGR,150,mono,el,fopo,Transparent
98,MAS,NOWORD,DIS,150,fopo,la,mono,Transparent
99,MAS,WORD,DIS,150,lobo,la,soro,Transparent
100,MAS,NOWORD,AGR,150,soro,el,lobo,Transparent
101,MAS,WORD,AGR,150,tono,el,gito,Transparent
102,MAS,NOWORD,DIS,150,gito,la,tono,Transparent
103,FEM,WORD,AGR,150,ruta,la,rova,Transparent
104,FEM,NOWORD,AGR,150,rova,la,ruta,Transparent
105,FEM,WORD,DIS,150,sopa,el,vina,Transparent
106,FEM,NOWORD,DIS,150,vina,el,sopa,Transparent
107,MAS,WORD,DIS,150,saco,la,raot,Transparent
108,MAS,NOWORD,AGR,150,raot,el,saco,Opaque
109,MAS,WORD,AGR,150,rayo,el,suno,Transparent
110,MAS,NOWORD,DIS,150,suno,la,rayo,Transparent
111,MAS,WORD,DIS,150,muro,la,siro,Transparent
112,MAS,NOWORD,AGR,150,siro,el,muro,Transparent
113,FEM,WORD,AGR,150,miel,la,tada,Opaque
114,FEM,NOWORD,DIS,150,tada,el,miel,Transparent
115,FEM,WORD,DIS,150,pata,el,haca,Transparent
116,FEM,NOWORD,AGR,150,haca,la,pata,Transparent
117,MAS,WORD,AGR,150,palo,el,movo,Transparent
118,MAS,NOWORD,DIS,150,movo,la,palo,Transparent
119,MAS,WORD,DIS,150,pozo,la,hooy,Transparent
120,MAS,NOWORD,AGR,150,hooy,el,pozo,Opaque
121,MAS,WORD,AGR,150,hoyo,el,bomo,Transparent
122,MAS,NOWORD,DIS,150,bomo,la,hoyo,Transparent
123,FEM,WORD,AGR,150,flor,la,maba,Opaque
124,FEM,NOWORD,AGR,150,maba,la,flor,Transparent
125,MAS,WORD,DIS,150,lujo,la,vudo,Transparent
126,MAS,NOWORD,DIS,150,vudo,la,lujo,Transparent
127,MAS,WORD,AGR,150,pico,el,itio,Transparent
128,MAS,NOWORD,AGR,150,itio,el,pico,Transparent
129,MAS,WORD,DIS,150,oído,la,pima,Transparent
